abbr,name
IHGZ,N.V. Industrieele en Handelmaatschappij voor Gouden en Zilveren Werken
IJMT,"Ijzer, Metaal en Tempergieterij"
IM,Industrieele Maatschappij
IMP,Industrieele Maatschappij Palembang
ING,ING Bank
INTERLAS,"Internationale Lasproducten Handelmaatschappij ""Interlas""n.V."
ISPAT,Ispat International N.V.
KAS,KAS Bank
KAS,Kas Bank
KEMPEN,N.V. Koninklijke Van Kempen en Begeer
KEY,N.V. Houthandel voorheen G. Key
KLENE,N.V. Fabriek van Chocolade en Suikerwerken J.C. Klene & Co.
KLM,Koninklijke Luchtvaart Maatschappij N.V.
KLOOS,F.Kloos & Zonen's werkplaatsen N.V
KLUWER,N.V. Uitgeversmaatschappij AE.E Kluwer
KNFWD,N.V. Koninklijke Nederlandsche Fabriek van Wollen Dekens.
KNH,Koninklijke Nedschroef Holding N.V.
KNM,N.V. Koninklijke Nederlandsche Machinefabriek
KNP2,Koninklijke Nederlandse Papierfabriek N.V.
KNP_BT,NV Koninklijke KNP BT Nederlandsche Papierfabriek N.V.
KNSM,Koninklijke Nederlandsche Stoomboot Maatschappij (N.V. Nationaal Bezit van Aandeelen)
KONDOR,Ingenieurs-Bureau voor Bouwnijverheid Kondor Groep N.V
KRAS,Maatschappij tot Exploitatie van de onderneming Krasnapolsky
KUHNE,Kuhne & Heitz N.V.
KWATTA,Stoom Chocolade en Cacaofabriek Kwatta
Kempen,Kempen & Co
LANDRE,Landre & Glinderman N.V.
LANS,Van Lanschot
LCI,LCI Computer Group N.V.
LGD,Lijm- en Gelatinefabriek Delft
LOOTS,N.V. Amsterdamsche likeurstokerij 't Lootsje
Lab,Labouchere & Co.
MAAS,Frans Maas Beheer N.V.
MAG,Maatschappij Amsterdams Goederenvervoer
MAGNUS,Magnus Holding N.V.
MAXWELL,N.V. The Maxwell Land Grant Company
MEDIP,N.V. Medicorpharma
MELLE,Melle N.V.
MHV,Moluksche Handels-Vennootschap
MNB,N.V. Meelfabrieken der Nederlandsche  Bakkerij
MOEARA,Petroleum-Maatschappij Moeara Enim
MULDER,Mulder's Fabriek van Rollend Materieel en landbouwmachines N.V
MULLER,Internatio -Muller N.V.
MULTIH,Multihouse N.V.
MVERPA,N.V. Metaverpa
MVSBP,Maatschappij tot Vervaardiging van Snijmachines volgens van Berkel's Patent en van andere Werktuigen.
MZ,Maatschappij Zeevaart
Mendes,Bank Mendes Gans
NAEFF,N.V. Gebroeders Naeff
NAF,N.V. Nederlands-Amerikaanse Fittingfabriek
NBAVG,N.V. Nationaal Bezit van Aandeelen Vereenigde Glasfabrieken
NBM,N.V. Verenigde NBM bedrijven
NCB,Nederlandsche Credietbank
NEDAP,N.V. Nederlandsche apparatenfabriek Nedap
NEDCON,Nedcon Groep N.V.
NEH,N.V.N.V. Noord- Europeesche Houthandel
NELLE,De erven de Wed. J. Van Nelle N.V.
NETAM,N.V. Nederlandsche Tank- Apparaten- en Machinefabriek Netam
NEWAYS,Neways Electronics International N.V.
NFK,NKF Holding N.V.
NG,Nationaal Grondbezit N.V.
NHM,Nederlandsche Handel-Maatschappij
NIB,De Nationale Investeringsbank
NIEAF,N.V. Nederlandsche Instrumenten en Electrische Apparaten Fabriek Nieaf
NIERS,N.V. v/h Nierstrasz
NIVV,Noordelijke Industrie voor Vezelverwerking N.V.
NMB,Nederlandsche Middenstandsbank
NMBPost,NMB Postbank Groep
NMMW,Nederlandsche Maatschappij tot het verrichten van Mijnbouwkundige Werken
NORIT,Algemeene Norit Maatschappij
NSSF,Nederlandsche Springstoffenfabrieken
NSU,Nederlandsche Scheepvaart Unie
NYLOP,Nyloplast
OLDEFT,Oldeft Groep N.V
OMMR,Phs. Van Ommeren's Scheepvaartbedrijf
ORDINA,Ordina Beheer N.V.
OREN,Orenstein & Koppel
OVING,Oving N.V
PAKH,Pakhoed Holding N.V.
PALTHE,Palthe's Textielveredelingsbedrijven N.V
PDPIM,Dordtsche Petroleum Industrie-Maatschappij (voortzetting)
PETR,Petroplus International N.V.
PHARMING,Pharming Group N.V.
PHILIPS,N.V.  Phillips' Gloeilampenfabrieken
PHP,"Pierson, Heldring en Pierson"
PIEMED,Pie Medical N.V.
PINK,PinkRoccade
POLY,Polynorm N.V.
POLYG,Polygram N.V.
PONT,Houthandel voorheen William Pont
PROOST,Proost & Brandt N.V.
PTH,Pirelli tyre Holding N.V.
PTT,Koninklijke PTT Nederland N.V. (na afsplitsing nationale postbedrijf vanaf 1997)
PTT,Koninklijke PTT Nederland N.V. (incl. nationale postbedrijf t/m 1997)
Pari,Paribas Nederland
Post,Postbank
RADEM,Metaalbedrijf Rademakers N.V
RAND,Randstad holding N.V.
RB,Rotterdamsche Bank
REEUW,N.V. Maatschappij voor Wooninrichting P. van Reeuwijk
REISS,Handelsvereeniging voorheen Reiss & Co.
RIVA,Riva N.V.
ROMMEN,Maatschappij tot Exploitatie der C.G. Rommenhollersche Koolzuur- en Zuurstofwerken.
ROOD,Rood Testhouse International N.V.
RSM,Rijn-Schelde Machinefabrieken en Scheepswerven N.V.
Rabo,Rabo Bank
SAJET,N.V. Koninklijke Veenendaalse Sajet en Vijfschachtfabriek v
SAMAS,Samas-Groep N.V.
SANDERS,N.V. Fabriek van Behangselpapier Gebr. Sanders
SARAK,Sarakreek Goudvelden N.V.
SB,Surinaamse Brouwerij N.V.
SCHOK,N.V. Schokbeton
SEDEP,Cultuur Maatschappij Sedep
SHARE,Management Share N.V.
SHELL,Shell/Koninklijke Nederlandsche Maatschappij tot Exploitatie van Petroleumbronnen in Nederlandsch-Indie
SIMAC,Simac Techniek N.V.
SLIGRO,Sligro Beheer N.V.
SMEDE,Koninklijke Nederlandsche Grofsmederij
SMIT,Smit Internationale N.V.
SMZ,Stoomvaart-Maatschappij Zeeland (Koninklijke Nederlandsche Postvaart)
SNS,SNS Bank
SPHINX,N.V. Koninklijke Sphinx
SRCMS,Sumatra Rubber Cultuur Maatschappij Serbadjadi
STEVIN,Koninklijke Volker Stevin N.V.
STORK,Commanditaire Vennootschap onder de firma Gebr Stork & Co
SlavB,Slavenburg's Bank
Staal,Bankierskantoor Staal &Co/Staalbankiers
TANDJONG,Droogdok-Maatschappij Tandjong-Priok
TB,Twentsche Bank
TELEG,N.V. Holdingmaatschappij de Telegraaf
TK,N.V. Twentsche Kabelfabriek
TNT,TNT Post Groep N.V.
TOUW,Vereenigde Touwfabrieken
TRICOT,Tricotbest N.V.
TRIODOS,Triodos Bank
TWG,Twijnstra Gudde N.V.
TWM,Tilburgsche Waterleiding Maatschappij
UNI,Unit 4 N.V.
UNIGRO,De Boer Unigro
UNIL,Unilever N.V.
UNION,N.V. Union Rijwielfabriek
UNIQ,Unique International N.V.
VBNUTR,N.V. Verenigde bedrijven Nutricia
VEDIOR,Vedior N.V.
VENDEXI,Vendex International N.V.
VENDEXK,Koninklijke Vendex KBB N.V.
VENETA,"Veneta, Verenigde Nederlandse Tapijtindustrie N.V."
VERSAT,VersaTel Telecom
VHS,N.V. Vereenigde Hollandsche Sigarenfabrieken
VIHAMIJ,Vihamij- Buttinger N.V.
VILZO,Vilenzo International N.V.
VNC,Vereenigde Nederlandsche Chamottefabrieken
VNUS,VNU/Spaarnestad jaarverslag
VOLMAC,Volmac Software Groep N.V.
VREDE,Vredestein N.V.
VRG,VRG Groep
VULCAAN,N.V. Vulcaansoord
VUURV,Gouda Vuurvast Holding N.V.
WASA,W.A.  Scholten's Aardappelmeelfabrieken
WAVEREN,Van Waveren's Graanhandel
WEGENER,Wegener's Couranten Concern N.V.
WELNA,Welna N.V.
WERNINK,N.V. Wernink's Beton Maatschappij
WESS,Wessanen's Koninklijke Fabrieken N.V.
WESSEM,N.V. Houthandel voorheen Van Wessem & Co.
WESTER,Wester-Suikerraffinaderij
WEW,Weweler N.V.
WIJK,Leidsche Textielfabrieken Gebrs. Van. Wijk & Co. N.V.
WIJKLIJN,N.V. Stoomvaart Maatschappij Wijklijn
WOL,Leidsche Wolspinnerij N.V.
WYERS,J.P. Wyers Industrie en Handelsonderneming
